time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:37:51:498798,ull,FALSE,FALSE,InValid,,,
22:37:51:636804,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:639804,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:642805,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:717841,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:718841,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:832026,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:833026,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:834026,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:940046,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:943019,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:51:944022,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:042983,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:043987,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:044982,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:126028,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:130029,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:132028,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:255105,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:256106,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:359985,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:359985,TRUE,327,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:359985,TRUE,329,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:437990,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:438985,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:438985,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:572540,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:573535,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:573535,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:651540,TRUE,328,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:652540,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:754580,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:755588,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:756578,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:884773,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:884773,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:885767,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:965768,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:966768,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:52:966768,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:070840,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:071835,TRUE,330,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:072835,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:175930,TRUE,331,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:176930,TRUE,332,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:280930,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:280930,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:281930,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:389454,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:390449,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:390449,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:53:494447,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
